"latin_binomial"	"common_name"
Abies alba	European silver fir
Abies alba	Silver fir
Acanthus mollis	Bear's breeches
Acer floridanum	Sugarmaple
Acer rubrum	Red maple
Acer rubrum	Rotahorn
Achillea millefolium	Common yarrow
Achillea millefolium	Milfoil
Achillea millefolium	Yarrow
Acorus calamus	Calamus
Acorus calamus	Flagroot
Acorus calamus	Myrtle-flag
Acorus calamus	Sweet calamus
Acorus calamus	Sweet-flag
Acorus calamus	Sweetroot
Actaea racemosa	Black bugbane
Actaea racemosa	Black cohosh
Actaea racemosa	Black snakeroot
Adiantum capillus	Common maidenhair
Adiantum capillus	Maidenhair fern
Aesculus hippocastanum	Common horse chestnut
Aesculus hippocastanum	Horse-chestnut
Aframomum melegueta	Guinea-pepper
Agathosma betulina	Buchu
Agathosma betulina	Honey buchu
Agathosma betulina	Mountain buchu
Agrimonia eupatoria	Agrimony
Agrimonia eupatoria	Da hua long ya cao
Albizia julibrissin	Happiness Tree
Albizia julibrissin	He huan
Albizia julibrissin	Mimosa
Albizia julibrissin	Silktree
Albizia julibrissin	Silktree albizia
Alchemilla xanthochlora	Lady's-mantle
Allium cepa	Onion
Allium cepa	Shallot
Aloe vera	Aloe
Aloe vera	Aloe vera
Aloe vera	Barbados aloe
Aloe vera	Curaçao aloe
Aloe vera	True aloe
Aloe vera	West Indian aloe
Alpinia officinarum	Chinese-ginger
Alpinia officinarum	Lesser galanga
Alpinia officinarum	Lesser galangal
Amaranthus spinosus	Prickly Amaranth
Amaranthus spinosus	Spiny Amaranth
Amomum villosum	Sharen
Amomum villosum	Sha ren
Amomum villosum	Villous amomum
Anethum graveolens	Dill
Anethum graveolens	Garden dill
Anethum graveolens	Shi luo
Angelica sinensis	Chinese Angelica
Angelica sinensis	Dang quai
Angelica sinensis	Dang qui
Angelica sinensis	Dong gui
Angelica sinensis	Dong quai
Angelica sinensis	Tang-kuei
Apium graveolens	Celery
Aralia racemosa	American spikenard
Aralia spinosa	Cong mu
Aralia spinosa	Japanese angelica-tree
Aralia spinosa	Japanese aralia
Arctium lappa	Burdock
Arctium lappa	Burr seed
Arctium lappa	Cocklebur
Arctium lappa	Edible burdock
Arctium lappa	Gobo
Arctium lappa	Goboshi
Arctium lappa	Great burdock
Arctium lappa	Great burdocks
Arctium lappa	Greater burdock
Arctium lappa	Hardock
Arctium lappa	Harebur
Arctium lappa	Lappa
Arctium lappa	Niu bang zi
Arctostaphylos uva	Bearberry
Arctostaphylos uva	Kinnikinnick
Arctostaphylos uva	Uva ursi
Ardisia crenata	Coralberry
Ardisia crenata	Coralberry tree
Ardisia crenata	Coral bush
Ardisia crenata	Hen's-eyes
Ardisia crenata	Koraalbessieboom
Ardisia crenata	Spiceberry
Ardisia crenata	Zhu sha gen
Areca catechu	Areca palm
Areca catechu	Bing lang
Aristotelia chilensis	Maqui
Artemisia absinthium	Absinthe
Artemisia absinthium	Absinthe wormwood
Artemisia absinthium	Absinthium
Artemisia absinthium	Wormwood
Artemisia annua	Huang hua hao
Artemisia annua	Sweet Annie
Artemisia annua	Sweet wormwood
Artocarpus altilis	Breadfruit
Asparagus racemosus	Shatamuli
Asparagus racemosus	Shatavari
Atractylodes lancea	Maocangzhu
Atractylodes macrocephala	Bai zhu
Atractylodes macrocephala	Bai zhu atractylodes
Atractylodes macrocephala	Largehead Atractylodes
Atractylodes macrocephala	White Atractylodes
Azadirachta indica	Indian-lilac
Azadirachta indica	Margosa
Azadirachta indica	Neem
Azadirachta indica	Nimtree
Bacopa monnieri	Bacopa
Bacopa monnieri	Moneywort
Bacopa monnieri	Water hyssop
Ballota nigra	Ballota
Ballota nigra	Black hempnettle
Ballota nigra	Black horehound
Ballota nigra	Black Stinking Horehound
Ballota nigra	Marrubium Nigrum
Berberis aquifolium	Blue barberry
Berberis aquifolium	Holly barberry
Berberis aquifolium	Holly mahonia
Berberis aquifolium	Mahonia
Berberis aquifolium	Mountain grape
Berberis aquifolium	Mountain-grape
Berberis aquifolium	Oregon grape
Berberis aquifolium	Oregon-grape
Berberis aristata	Indian barberry
Berberis aristata	Tree-turmeric
Berberis lycium	Berberislycium
Berberis vulgaris	Common barberry
Berberis vulgaris	European barberry
Berberis vulgaris	Jaundice-berry
Berberis vulgaris	piprage
Beta vulgaris	Beet
Beta vulgaris	Field beet
Beta vulgaris	Fodder beet
Beta vulgaris	Foliage beet
Beta vulgaris	Garden beet
Beta vulgaris	Mangel
Beta vulgaris	Mangel-wurzel
Beta vulgaris	Mangold
Beta vulgaris	Red beet
Beta vulgaris	Sicilian broad-rib beet
Beta vulgaris	Spinach beet
Beta vulgaris	Spinach chard
Beta vulgaris	Sugar beet
Beta vulgaris	Swiss chard
Beta vulgaris	Tian cai
Beta vulgaris	Yellow beet
Bidens pilosa	Hairy beggar-ticks
Bidens pilosa	Spanish-needles
Bixa orellana	Annatto
Bixa orellana	Arnatto
Bixa orellana	Lipsticktree
Bixa orellana	Rocou
Borago officinalis	Beebread
Borago officinalis	Beeplant
Borago officinalis	Borage
Borago officinalis	Star-flower
Borago officinalis	Talewort
Brassica juncea	Indian mustard
Brassica juncea	Oriental mustard
Brassica oleracea	Colza
Brassica oleracea	Rape
Brassica oleracea	Rape seed
Brassica oleracea	Seed- rape
Brassica rapa	Rapini
Brassica rapa	Seven-top turnip
Brassica rapa	Turnip
Brassica rapa	Tyfon
Bupleurum chinense	Bei chai hu
Bupleurum chinense	Bupleurum
Bupleurum chinense	Chai hu
Bupleurum chinense	Chinese thoroughwax
Bupleurum chinense	Hare's-ear
Calluna vulgaris	Common heather
Calluna vulgaris	Heather
Calluna vulgaris	Ling
Calluna vulgaris	Red-heath
Calluna vulgaris	Scotch heather
Calluna vulgaris	Scots heather
Camellia sinensis	Black tea
Camellia sinensis	Green tea
Camellia sinensis	Oolong tea
Camellia sinensis	Tea
Camellia sinensis	White Tea
Cannabis sativa	Da ma
Cannabis sativa	Hemp
Capparis spinosa	Caper
Capparis spinosa	Caperbush
Capsella bursa	Shepherd's-purse
Castanea dentata	Americanchestnut
Castanea sativa	European chestnut
Castanea sativa	Sweet chestnut
Caulophyllum thalictroides	Blue cohosh
Caulophyllum thalictroides	Caulophyllum
Caulophyllum thalictroides	Papooseroott
Caulophyllum thalictroides	Squawroot
Centaurium erythraea	Centaury
Centaurium erythraea	Common centaury
Centaurium erythraea	European centaury
Centaurium erythraea	Small centaury
Ceratonia siliqua	Bread- St John's
Ceratonia siliqua	Carob
Ceratonia siliqua	Ceratonia
Ceratonia siliqua	Locust-bean
Ceratonia siliqua	St. John's-bread
Ceratonia siliqua	St John's bread
Chelidonium majus	Celandine
Chelidonium majus	Great celandine
Chelidonium majus	Greater celandine
Chelidonium majus	Nipplewort
Chelidonium majus	Swallowwort
Chimaphila umbellata	Bitter wintergreen
Chimaphila umbellata	Ground ivy
Chimaphila umbellata	Pipsissewa
Chimaphila umbellata	Pipsissiwa
Chimaphila umbellata	Prince's-pine
Chionanthus virginicus	Fringetree
Chionanthus virginicus	Old-man's-beard
Chionanthus virginicus	Poison-ash
Cichorium intybus	Belgium endive
Cichorium intybus	Chicory
Cichorium intybus	Radicchio
Cinnamomum burmanni	Bataviacinnamon
Cinnamomum camphora	Camphor
Cinnamomum camphora	Camphor laurel
Cinnamomum camphora	Camphortree
Cinnamomum camphora	Camphor tree
Cinnamomum camphora	Japanese camphor
Cinnamomum camphora	Kuso-no-ki
Cinnamomum cassia	Cassia
Cinnamomum cassia	Cassia cinnamon
Cinnamomum cassia	Chinese cinnamon
Cinnamomum cassia	Chinese cinnamon tree
Cinnamomum cassia	Rou gui
Cinnamomum verum	Ceylon cinnamon
Cinnamomum verum	Cinnamon
Cinnamomum verum	True cinnamon
Cinnamomum verum	Tvak
Cistus creticus	Hairyrockrose
Citrullus lanatus	Watermelon
Citrus aurantium	Bitter orange
Citrus aurantium	Seville orange
Citrus aurantium	Suan cheng
Citrus reticulata	Ju
Citrus reticulata	Mandarin orange
Citrus reticulata	Tangerine
Citrus sinensis	Blood orange
Citrus sinensis	Navel orange
Citrus sinensis	Red orange
Citrus sinensis	Sweet orange
Citrus sinensis	Tian cheng
Citrus sinensis	Valencia orange
Codonopsis pilosula	Bellflower
Codonopsis pilosula	Dang shen
Cola nitida	Bitter cola
Cola nitida	Gbanja kola
Cola nitida	Kola
Commiphora mukul	Guggul
Commiphora mukul	Gugul
Commiphora mukul	Indian bdellium-tree
Conyza canadensis	Butterweed
Conyza canadensis	Canadian horseweed
Coptis chinensis	Chinese goldthread
Coptis chinensis	Golden thread
Coptis chinensis	Huanglian
Coptis chinensis	Huang lian
Cordyceps militaris	Cordycepsmilitaris
Coriandrum sativum	Chinese parsley
Coriandrum sativum	Chinese-parsley
Coriandrum sativum	Cilantro
Coriandrum sativum	Coriander
Coriandrum sativum	Parsley- Chinese
Cornus officinalis	Asiatic cornelian cherry
Cornus officinalis	Asiatic dogwood
Cornus officinalis	Shan zhu yu
Corylus avellana	Cobnut
Corylus avellana	European filbert
Corylus avellana	European hazel
Corylus avellana	Giant filbert
Corylus avellana	Hazel
Corylus avellana	Hazelnut tree
Crataegus laevigata	English hawthorn
Crataegus laevigata	Hawthorn
Crataegus laevigata	Maytree
Crataegus laevigata	Two-style hawthorn
Crataegus laevigata	Whitethorn
Crataegus laevigata	Woodland hawthorn
Crataegus monogyna	Hawthorn
Crataegus monogyna	Oneseed hawthorn
Crataegus monogyna	One-style hawthorn
Crithmum maritimum	Rock samphire
Crithmum maritimum	Sea-fennel
Cuminum cyminum	Cumin
Curcuma longa	Common turmeric
Curcuma longa	Curcuma
Curcuma longa	Indian-saffron
Curcuma longa	Jianghuang
Curcuma longa	Turmeric
Curcuma longa	Yellow ginger
Curcuma zedoaria	Karcura
Cyperus rotundus	Coco-grass
Cyperus rotundus	Nutgrass
Cyperus rotundus	Nut-grass
Cyperus rotundus	Nutgrass alingale
Cyperus rotundus	Nut sedge
Cyperus rotundus	Purple nut sedge
Cyperus rotundus	Red nut sedge
Cyperus rotundus	Suo cao
Cyperus rotundus	Xiangfu
Cyperus rotundus	Xiang fu zi
Daucus carota	Carrot
Dioscorea villosa	Chinaroot
Dioscorea villosa	Wild yam
Diospyros virginiana	Americanpersimmon
Echinacea angustifolia	Black sampson
Echinacea angustifolia	Black-sampson echinacea
Echinacea angustifolia	Echinacea
Echinacea angustifolia	Kansas snakeroot
Echinacea angustifolia	Narrow-leaf coneflower
Echinacea angustifolia	Narrow-leaf echinacea
Echinacea angustifolia	Narrow-leaf purple-coneflower
Echinacea purpurea	Eastern purple-coneflower
Echinacea purpurea	Echinacea
Echinacea purpurea	Purple-coneflower
Eleutherococcus senticosus	Ci wu jia
Eleutherococcus senticosus	Eleuthero
Eleutherococcus senticosus	Siberian ginseng
Elymus repens	Couchgrass
Emilia sonchifolia	Cupid's shaving-brush
Emilia sonchifolia	Emilia
Emilia sonchifolia	Sow thistle
Epimedium grandif	Barrenwort
Epimedium grandif	Japanese epimedium
Epimedium grandif	Yin yang huo
Epimedium grandiflorum	Barrenwort
Epimedium grandiflorum	Japanese epimedium
Epimedium grandiflorum	Yin yang huo
Equisetum hyemale	Common scouring-rush
Equisetum hyemale	Mu zei
Eriobotrya japonica	Bibasse
Eriobotrya japonica	Japanese-medlar
Eriobotrya japonica	Loquat
Eriobotrya japonica	Lukwart
Eriobotrya japonica	Nispero
Eriobotrya japonica	Pi ba
Eriodictyon californicum	Mountain balm
Eriodictyon californicum	Yerba-santa
Eruca vesicaria	Arugula
Eruca vesicaria	Garden rock
Eschscholzia californica	California-poppy
Eupatorium purpureum	Gravelroot
Eupatorium purpureum	Green-stem joe-pye-weed
Eupatorium purpureum	Joe-pye
Eupatorium purpureum	Joe-pye-weed
Eupatorium purpureum	Marsh-milkweed
Eupatorium purpureum	Queen-of-the-meadow
Eupatorium purpureum	Sweet joe-pye-weed
Euterpe oleracea	Acai
Euterpe oleracea	Açai
Euterpe oleracea	Assai palm
Euterpe oleracea	Cabbage palm
Ferula elaeochytris	Ferulaelaeochytris
Ficus carica	Fig
Ficus carica	Fig tree
Ficus carica	Wu hua guo
Filipendula ulmaria	Dropwort
Filipendula ulmaria	Meadowsweet
Filipendula ulmaria	Queen-of-the-meadow
Filipendula ulmaria	Xuan guo wen zi cao
Foeniculum vulgare	Fennel
Foeniculum vulgare	Fenouil
Fomes fomentarius	Fomesfomentarius
Frangula alnus	Alder buckthorn
Frangula alnus	Frangula
Frangula alnus	Glossy buckthorn
Fucus vesiculosus	Black tang
Fucus vesiculosus	Bladder fucus
Fucus vesiculosus	Kelpware
Fucus vesiculosus	Seawrack
Fumaria officinalis	Common fumitory
Fumaria officinalis	Fumitory
Fumaria officinalis	Wax-dolls
Galega officinalis	French lilac
Galega officinalis	Galega
Galega officinalis	Goat's-rue
Galium aparine	Catchweed bedstraw
Galium aparine	Cleavers
Galium aparine	Goose-grass
Galium verum	Lady's bedstraw
Galium verum	Yellow bedstraw
Ganoderma lucidum	Ganoderma
Ganoderma lucidum	Ling zhi
Ganoderma lucidum	Reishi
Garcinia gummi	Malabartamarind
Gentiana lutea	Bitterwort
Gentiana lutea	Gentian
Gentiana lutea	Gentian-root
Gentiana lutea	Yellow gentian
Geranium maculatum	Cranesbill
Geranium maculatum	Spotted geranium
Geranium maculatum	Wild geranium
Ginkgo biloba	Baiguo
Ginkgo biloba	Ginkgo
Ginkgo biloba	Ginkgo biloba
Ginkgo biloba	Icho
Ginkgo biloba	Maidenhair-tree
Glycine max	Black soya bean
Glycine max	Da dou
Glycine max	Soy
Glycine max	Soya
Glycine max	Soyabean
Glycine max	Soybean
Glycyrrhiza glabra	Guang guo gan cao
Glycyrrhiza glabra	Licorice
Glycyrrhiza glabra	Liquorice
Glycyrrhiza inflata	Zhangguogancao
Glycyrrhiza uralensis	Chinese licorice
Glycyrrhiza uralensis	Gan cao
Gymnema sylvestre	Gymnema
Gymnema sylvestre	Miracle-fruit
Hamamelis virginiana	Hamamelis
Hamamelis virginiana	Spotted alder
Hamamelis virginiana	Winter bloom
Hamamelis virginiana	Witchazel
Hamamelis virginiana	Witch-hazel
Handroanthus heptaphyllus	Ipe roxo
Handroanthus heptaphyllus	Lapacho
Handroanthus heptaphyllus	Lapacho negro
Handroanthus heptaphyllus	Pau d'Arco
Harpagophytum procumbens	Devil's-claw
Harpagophytum procumbens	Grapple plant
Harpagophytum procumbens	Wood spider
Hedera helix	Engelse hedera
Hedera helix	English ivy
Helichrysum arenarium	Everlasting
Helichrysum arenarium	Immortelle
Helichrysum arenarium	Sandy everlasting
Helichrysum arenarium	Yellow chasteweed
Hordeum vulgare	Da mai
Hydrastis canadensis	Goldenseal
Hydrastis canadensis	Orangeroot
Hydrastis canadensis	Yellow-puccoon
Hydrastis canadensis	Yellow root
Hypericum perforatum	Hypericum
Hypericum perforatum	St. John's wort
Hypericum perforatum	St. John's-wort
Hyssopus officinalis	Hyssop
Ilex paraguariensis	Brazilian tea
Ilex paraguariensis	Mate
Ilex paraguariensis	Paraguayan tea
Ilex paraguariensis	Paraguay tea
Ilex paraguariensis	St Bartholomew's tea
Ilex paraguariensis	Yerba mate
Inonotus obliquus	Chaga
Inula helenium	Elecampane
Inula helenium	Tu mu xiang
Inula helenium	Velvet-dock
Juglans nigra	Blackwalnut
Juglans regia	Walnut
Juncus effusus	Common rush
Juncus effusus	Deng xin cao
Juncus effusus	Soft rush
Juniperus communis	Common juniper
Juniperus communis	Juniper
Juniperus oxycedrus	Cade juniper
Juniperus oxycedrus	Prickly juniper
Juniperus oxycedrus	Red-berry juniper
Juniperus virginiana	Eastern red-cedar
Juniperus virginiana	Pencil-cedar
Juniperus virginiana	Potloodseder
Juniperus virginiana	Red-cedar
Juniperus virginiana	Red juniper
Juniperus virginiana	Rooisede
Leonurus cardiaca	Common motherwort
Leonurus cardiaca	Motherwort
Lepidium	Du xing cai
Lepidium	Pepperweed
Lepidium meyenii	Maca
Lepidium meyenii	Peruvian-ginseng
Levisticum officinale	Lovage
Lilium candidum	Madonna lily
Lilium candidum	White lily
Liquidambar styraciflua	Alligatorwood
Liquidambar styraciflua	American-storax
Liquidambar styraciflua	Red-gum
Liquidambar styraciflua	Satin-walnut
Liquidambar styraciflua	Sweet-gum
